name,system,score,NonEffector.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
T3SE-NP_459646.1,III,0.8736,0.0129,0.005,0.0017,0.8736,0.0753,0.0315,331
T3SE-NP_459647.1,III,0.9667,0.0042,0.0013,0.0006,0.9667,0.002,0.0254,235
T3SE-NP_459649.1,III,0.8794,0.0236,0.0046,0.0017,0.8794,0.0017,0.0889,231
T3SE-NP_459652.1,III,0.9242,0.052,0.0006,0.0012,0.9242,0.0123,0.0097,412
T3SE-NP_459682.1,III,0.7419,0.2317,0.0012,0.0047,0.7419,0.0183,0.0021,180
T3SE-NP_459684.1,III,0.5627,0.3967,0.0008,0.0006,0.5627,0.0349,0.0042,161
T3SE-NP_459703.1,III,0.9943,0.0017,0.0,0.0,0.9943,0.004,0.0,246
T3SE-NP_459748.1,III,0.9918,0.0052,0.0002,0.0,0.9918,0.0019,0.0009,232
T3SE-NP_459778.1,III,0.9997,0.0,1e-04,1e-04,0.9997,0.0002,0.0,765
T3SE-NP_459830.1,III,0.7916,0.0753,1e-04,0.0002,0.7916,0.1323,0.0006,127
T3SE-NP_459853.1,III,0.9454,0.0369,0.0004,0.0008,0.9454,0.0141,0.0025,158
T6SE-NP_459871.1,VI,0.7897,0.004,0.003,0.0023,0.1987,0.0024,0.7897,102
T3SE-NP_459890.1,III,0.9308,0.0301,0.0003,1e-04,0.9308,0.0302,0.0086,223
T6SE-NP_459892.1,VI,0.7262,0.1508,0.004,0.0033,0.1021,0.0137,0.7262,133
T6SE-NP_459893.1,VI,0.932,0.002,0.05,0.0011,0.0117,0.0032,0.932,247
T6SE-NP_459896.1,VI,0.9971,0.0009,0.0006,0.0002,0.0012,0.0,0.9971,109
T6SE-NP_459898.1,VI,0.9965,0.0,0.0014,1e-04,0.0019,0.0,0.9965,231
T6SE-NP_459900.1,VI,0.9914,0.0016,0.0017,1e-04,0.0047,0.0004,0.9914,225
T6SE-NP_459902.3,VI,0.9747,0.0171,0.0062,0.0006,0.0011,0.0002,0.9747,1148
T6SE-NP_459903.1,VI,0.7372,0.1325,0.1178,0.0101,0.0018,0.0007,0.7372,790
T6SE-NP_459904.1,VI,0.5267,0.4535,0.0053,0.0019,0.011,0.0016,0.5267,191
T6SE-NP_459920.1,VI,0.7296,0.1831,0.0344,0.0018,0.0431,0.008,0.7296,73
T3SE-NP_459947.1,III,0.9845,0.0003,1e-04,1e-04,0.9845,0.0149,0.0,319
T3SE-NP_459954.1,III,0.378,0.1992,0.0064,0.2488,0.378,0.0394,0.1281,253
T3SE-NP_459964.1,III,0.7879,0.1859,0.0005,0.0006,0.7879,0.0241,0.0011,297
T3SE-NP_459968.1,III,0.792,0.151,0.0009,0.0006,0.792,0.0336,0.0219,234
T6SE-NP_459992.1,VI,0.6886,0.2112,0.0173,0.002,0.0388,0.042,0.6886,103
T3SE-NP_459994.1,III,0.4786,0.4548,0.0008,0.0004,0.4786,0.0581,0.0073,77
T6SE-NP_460003.1,VI,0.6903,0.2766,0.0223,0.0022,0.0064,0.0021,0.6903,150
T6SE-NP_460009.1,VI,0.7897,0.0022,0.1746,0.0142,0.0183,0.0011,0.7897,107
T3SE-NP_460010.1,III,0.6813,0.0021,0.0172,0.0011,0.6813,0.0069,0.2914,99
T6SE-NP_460012.1,VI,0.9539,0.01,0.0024,0.0008,0.0308,0.002,0.9539,133
T6SE-NP_460013.1,VI,0.9603,0.0025,0.0232,0.001,0.0085,0.0046,0.9603,249
T3SE-NP_460014.1,III,0.4561,0.0533,0.003,0.001,0.4561,0.0696,0.4169,132
T3SE-NP_460015.1,III,0.7679,0.1294,0.0056,0.0006,0.7679,0.0912,0.0054,109
T6SE-NP_460017.1,VI,0.9986,0.0008,0.0003,1e-04,0.0002,0.0,0.9986,110
T6SE-NP_460020.1,VI,0.8505,0.0082,0.0121,0.0007,0.0753,0.0533,0.8505,231
T6SE-NP_460022.1,VI,0.9681,0.0013,0.0022,0.0002,0.0273,0.0009,0.9681,234
T6SE-NP_460023.1,VI,0.9777,0.0183,0.0029,0.0004,0.0005,0.0003,0.9777,815
T6SE-NP_460024.1,VI,0.6758,0.207,0.1014,0.0137,0.0015,0.0006,0.6758,812
T3SE-NP_460026.1,III,0.8974,0.0032,0.0007,0.0002,0.8974,0.0882,0.0103,322
T3SE-NP_460029.1,III,0.9246,1e-04,0.0033,0.001,0.9246,0.0652,0.0059,228
T6SE-NP_460040.1,VI,0.5194,0.4529,0.0051,0.0015,0.0131,0.008,0.5194,55
T6SE-NP_460053.1,VI,0.6854,0.1443,0.016,0.0015,0.0592,0.0936,0.6854,105
T3SE-NP_460060.1,III,0.9623,1e-04,0.0009,0.0002,0.9623,0.0354,0.0012,226
T3SE-NP_460061.1,III,0.9446,0.0009,0.0017,0.0003,0.9446,0.0509,0.0017,291
T3SE-NP_460063.1,III,0.9885,0.0032,1e-04,0.0003,0.9885,0.0077,0.0002,113
T3SE-NP_460064.1,III,0.9986,1e-04,0.0003,0.0002,0.9986,0.0007,1e-04,561
T6SE-NP_460093.1,VI,0.6473,0.1826,0.1027,0.0207,0.0273,0.0194,0.6473,55
T3SE-NP_460108.1,III,0.6678,0.3224,0.0004,0.0032,0.6678,0.0037,0.0025,184
T1SE-NP_460114.1,I,0.4538,0.061,0.4538,0.3822,0.0014,0.0738,0.0278,151
T3SE-NP_460133.1,III,0.5042,0.2971,0.0014,0.0004,0.5042,0.1799,0.0171,81
T3SE-NP_460143.1,III,0.999,0.0002,0.0004,0.0003,0.999,1e-04,0.0,97
T3SE-NP_460178.1,III,0.5721,0.4053,0.001,0.0057,0.5721,0.0023,0.0136,274
T3SE-NP_460194.1,III,0.9949,1e-04,1e-04,0.0,0.9949,0.0049,0.0,336
T3SE-NP_460209.1,III,0.9999,0.0,0.0,0.0,0.9999,0.0,0.0,374
T3SE-NP_460238.1,III,0.8865,0.0006,0.0153,0.0017,0.8865,0.0328,0.0631,60
T3SE-NP_460242.1,III,0.7639,0.0401,0.0039,0.0006,0.7639,0.0482,0.1433,103
T3SE-NP_460312.1,III,0.7741,0.1839,0.0026,0.0007,0.7741,0.0321,0.0065,63
T3SE-NP_460358.1,III,0.8318,0.0794,0.0002,0.0003,0.8318,0.0816,0.0067,133
T3SE-NP_460363.1,III,0.9983,0.0004,0.0004,0.0,0.9983,0.0,0.0008,196
T3SE-NP_460365.1,III,1.0,0.0,0.0,0.0,1.0,0.0,0.0,484
T3SE-NP_460366.1,III,1.0,0.0,0.0,0.0,1.0,0.0,0.0,195
T3SE-NP_460367.1,III,0.4324,0.2579,1e-04,1e-04,0.4324,0.3093,0.0002,138
T3SE-NP_460369.1,III,0.9997,0.0,0.0,0.0,0.9997,0.0003,0.0,260
T3SE-NP_460370.1,III,0.9977,0.0,1e-04,0.0,0.9977,0.0022,0.0,229
T3SE-NP_460371.1,III,0.8852,0.112,0.0003,0.0005,0.8852,0.0014,0.0006,71
T3SE-NP_460373.1,III,0.9957,0.0029,0.0004,0.0003,0.9957,0.0006,0.0002,82
T3SE-NP_460376.1,III,0.9762,0.022,1e-04,1e-04,0.9762,0.0015,1e-04,224
T3SE-NP_460377.1,III,0.8814,0.0053,0.0007,0.0005,0.8814,0.1119,0.0002,338
T3SE-NP_460383.1,III,0.7389,0.2545,0.0004,0.0005,0.7389,0.0054,0.0004,322
T6SE-NP_460408.1,VI,0.4904,0.3073,0.0521,0.1115,0.0126,0.0261,0.4904,155
T6SE-NP_460469.1,VI,0.4867,0.0067,0.0175,0.0006,0.4411,0.0473,0.4867,67
T6SE-NP_460473.1,VI,0.811,0.0597,0.0891,0.0107,0.016,0.0135,0.811,60
T6SE-NP_447948.1,VI,0.6219,0.0394,0.0514,0.0227,0.0617,0.2029,0.6219,108
T3SE-NP_460492.1,III,0.63,0.3662,0.0004,0.0015,0.63,0.0016,0.0003,295
T3SE-NP_460523.1,III,0.9064,0.0763,0.0042,0.0034,0.9064,0.0087,0.001,71
T3SE-NP_460542.1,III,0.9131,0.0398,0.0026,0.0017,0.9131,0.0152,0.0276,210
T3SE-NP_460551.1,III,0.8039,0.1042,0.0016,0.0003,0.8039,0.0836,0.0065,77
T3SE-NP_460554.1,III,0.9672,0.0181,0.0008,0.0078,0.9672,0.0012,0.0049,714
T3SE-NP_460561.1,III,0.9998,0.0,0.0,0.0,0.9998,1e-04,0.0,316
T3SE-NP_460569.1,III,0.7656,0.0174,0.0628,0.0049,0.7656,0.0529,0.0965,326
T3SE-NP_460583.1,III,0.6782,0.1641,0.0005,0.0002,0.6782,0.1514,0.0056,447
T3SE-NP_448047.1,III,0.8229,0.0029,0.0313,0.0015,0.8229,0.0013,0.1401,133
T3SE-NP_460590.1,III,0.9967,1e-04,0.0008,0.0021,0.9967,0.0003,1e-04,408
T3SE-NP_460638.1,III,0.7615,0.1848,0.0142,0.0176,0.7615,0.0159,0.0059,242
T3SE-NP_460656.1,III,0.6815,0.0015,0.0005,0.0002,0.6815,0.3142,0.0021,457
T3SE-NP_460660.1,III,0.8577,0.1404,0.0003,0.0007,0.8577,0.0009,1e-04,326
T3SE-NP_460674.1,III,0.822,0.0591,0.0018,0.0013,0.822,0.1149,0.0008,83
T6SE-NP_460687.1,VI,0.7839,0.0821,0.0786,0.0096,0.0269,0.0188,0.7839,60
T6SE-NP_460690.1,VI,0.8648,0.1265,0.0018,0.0019,0.0006,0.0043,0.8648,292
T6SE-NP_460726.1,VI,0.7973,0.123,0.0013,0.0048,0.0519,0.0217,0.7973,76
T3SE-NP_460747.1,III,0.9946,0.003,0.0006,0.0002,0.9946,0.0004,0.0012,282
T3SE-NP_460766.1,III,0.5898,0.009,0.1998,0.0157,0.5898,0.0281,0.1577,45
T3SE-NP_460779.1,III,0.4923,0.3163,0.0009,0.0004,0.4923,0.1844,0.0056,59
T6SE-NP_460793.1,VI,0.4773,0.4602,0.0415,0.0022,0.0105,0.0082,0.4773,69
T3SE-NP_460807.1,III,0.8676,0.0189,0.0049,0.0003,0.8676,0.0238,0.0845,79
T3SE-NP_460811.1,III,0.9981,0.0,0.0002,0.0002,0.9981,0.0015,0.0,240
T6SE-NP_460854.1,VI,0.77,0.1877,0.0027,0.0013,0.0276,0.0107,0.77,199
T3SE-NP_460865.1,III,0.6283,0.0362,0.0003,0.0002,0.6283,0.326,0.0091,189
T3SE-NP_460902.1,III,0.9655,0.0106,1e-04,0.0002,0.9655,0.0233,0.0003,74
T3SE-NP_460927.1,III,0.6673,0.286,0.011,0.0255,0.6673,0.0027,0.0074,405
T3SE-NP_460936.1,III,0.6051,0.0119,0.0649,0.0036,0.6051,0.2656,0.0489,75
T6SE-NP_460947.1,VI,0.4721,0.4188,0.0562,0.0021,0.023,0.0278,0.4721,70
T6SE-NP_460954.1,VI,0.562,0.101,0.0299,0.002,0.0019,0.3031,0.562,564
T3SE-NP_460986.1,III,0.7516,0.1691,0.0012,0.0004,0.7516,0.0754,0.0024,224
T3SE-NP_460987.1,III,0.9583,0.0275,0.0006,0.0003,0.9583,0.0083,0.005,173
T3SE-NP_460989.1,III,0.9816,0.0164,1e-04,1e-04,0.9816,0.0015,0.0003,116
T3SE-NP_460993.1,III,0.8774,0.1184,1e-04,1e-04,0.8774,0.0039,0.0002,163
T3SE-NP_461011.1,III,0.9951,0.0,1e-04,0.0,0.9951,0.0048,0.0,782
T3SE-NP_461028.1,III,0.5064,0.4656,0.0025,0.0215,0.5064,0.0018,0.0021,477
T3SE-NP_461081.1,III,0.7678,0.0122,0.0005,0.0007,0.7678,0.2169,0.0019,348
T3SE-NP_461082.1,III,0.8302,0.0689,1e-04,0.0006,0.8302,0.0997,0.0005,138
T3SE-NP_461164.1,III,0.571,0.4079,0.0002,0.0003,0.571,0.0175,0.0031,114
T3SE-NP_461171.1,III,0.9546,0.037,1e-04,0.0003,0.9546,0.0072,0.0008,75
T3SE-NP_461173.3,III,0.7971,0.1537,0.0007,0.0005,0.7971,0.0451,0.0029,167
T6SE-NP_461178.1,VI,0.5693,0.3774,0.0392,0.0105,0.0034,0.0002,0.5693,413
T3SE-NP_461179.1,III,0.4488,0.3092,0.0087,0.0051,0.4488,0.0035,0.2248,172
T3SE-NP_461184.1,III,0.9993,0.0,0.0002,1e-04,0.9993,0.0002,0.0003,788
T6SE-NP_461186.1,VI,0.6245,0.2867,0.0793,0.0044,0.0034,0.0016,0.6245,263
T3SE-NP_461313.1,III,0.9929,0.0047,0.0003,0.0005,0.9929,0.0016,0.0,333
T6SE-NP_461317.1,VI,0.9942,0.0002,0.0031,0.0011,0.0011,0.0004,0.9942,122
T3SE-NP_461322.1,III,0.3947,0.2146,0.0006,0.0008,0.3947,0.375,0.0143,91
T3SE-NP_461332.1,III,0.9738,0.0009,0.0011,0.0002,0.9738,0.0181,0.0059,94
T3SE-NP_461352.1,III,0.6455,0.2338,0.0012,0.0005,0.6455,0.081,0.038,120
T3SE-NP_461369.1,III,0.9674,0.0047,0.0008,0.0002,0.9674,0.0224,0.0047,79
T3SE-NP_461391.1,III,0.7335,0.0908,0.0258,0.0012,0.7335,0.0032,0.1455,219
T3SE-NP_461403.1,III,0.6155,0.3618,0.002,0.0023,0.6155,0.0156,0.0027,229
T6SE-NP_461524.1,VI,0.7479,0.1526,0.088,0.01,0.0011,0.0005,0.7479,790
T6SE-NP_461525.2,VI,0.9813,0.0128,0.0044,0.0007,0.0007,1e-04,0.9813,1120
T6SE-NP_461526.1,VI,0.9714,0.001,0.0022,0.0003,0.0246,0.0005,0.9714,215
T6SE-NP_461528.1,VI,0.9947,0.0,0.0011,1e-04,0.004,0.0,0.9947,232
T6SE-NP_461529.1,VI,0.9953,0.002,0.001,0.0003,0.0012,1e-04,0.9953,109
T3SE-NP_461532.1,III,0.8504,0.0229,0.0014,0.0007,0.8504,0.0443,0.0802,131
T6SE-NP_461533.1,VI,0.9125,0.0021,0.0646,0.0014,0.0171,0.0023,0.9125,248
T6SE-NP_461534.1,VI,0.7298,0.0657,0.0062,0.0044,0.1779,0.016,0.7298,133
T3SE-NP_461537.1,III,0.692,0.0002,0.02,0.001,0.692,0.0005,0.2863,127
T3SE-NP_461538.1,III,0.59,0.0372,0.0013,0.0004,0.59,0.366,0.0051,119
T6SE-NP_461539.1,VI,0.7315,0.2101,0.0177,0.007,0.0322,0.0014,0.7315,342
T6SE-NP_461540.1,VI,0.9207,0.0007,0.0618,0.0034,0.0133,0.0002,0.9207,115
T3SE-NP_461543.1,III,0.4924,0.4774,0.0015,0.001,0.4924,0.0176,0.01,67
T6SE-NP_461548.1,VI,0.6765,0.3009,0.015,0.0017,0.004,0.002,0.6765,150
T3SE-NP_461550.1,III,0.6172,0.0002,0.0052,0.0008,0.6172,0.3664,0.0102,228
T3SE-NP_461556.1,III,0.4786,0.4548,0.0008,0.0004,0.4786,0.0581,0.0073,77
T6SE-NP_461558.1,VI,0.6886,0.2112,0.0173,0.002,0.0388,0.042,0.6886,103
T6SE-NP_461623.1,VI,0.9664,0.0307,0.0003,1e-04,0.0015,0.001,0.9664,366
T6SE-NP_461624.1,VI,0.9557,0.0349,0.0015,0.0005,0.0071,0.0002,0.9557,161
T6SE-NP_461628.1,VI,0.9971,0.0005,0.0003,1e-04,0.0019,1e-04,0.9971,171
T6SE-NP_461631.1,VI,0.8029,0.0139,0.1529,0.0108,0.0194,1e-04,0.8029,359
T6SE-NP_461633.1,VI,0.4752,0.3963,0.0054,0.0025,0.119,0.0017,0.4752,205
T6SE-NP_461638.1,VI,0.9982,0.0003,0.0011,0.0,0.0002,0.0002,0.9982,192
T6SE-NP_461646.1,VI,0.6757,0.2666,0.0093,0.0047,0.043,0.0007,0.6757,154
T6SE-NP_461648.1,VI,0.6991,0.1517,0.0316,0.0269,0.0895,0.0012,0.6991,360
T3SE-NP_461659.1,III,0.5391,0.297,0.0003,0.0002,0.5391,0.1622,0.0012,77
T3SE-NP_461702.1,III,0.9715,0.0203,0.0014,0.0018,0.9715,0.001,0.004,414
T3SE-NP_461706.1,III,0.9946,1e-04,0.0004,0.0,0.9946,0.0045,0.0004,350
T3SE-NP_461728.1,III,0.3768,0.2338,0.0278,0.0013,0.3768,0.1232,0.2371,112
T3SE-NP_461755.1,III,0.7858,0.1965,0.0034,0.0015,0.7858,0.0042,0.0087,120
T3SE-NP_461786.1,III,0.9944,1e-04,1e-04,1e-04,0.9944,0.0048,0.0005,302
T3SE-NP_461787.1,III,0.7626,0.1216,0.0002,0.0004,0.7626,0.1151,0.0002,251
T3SE-NP_461789.1,III,0.9996,0.0,0.0003,1e-04,0.9996,0.0,0.0,150
T3SE-NP_461790.1,III,0.9682,0.0284,0.0004,0.0003,0.9682,0.0025,1e-04,226
T3SE-NP_461793.1,III,0.9425,0.0545,0.0006,0.0007,0.9425,0.0012,0.0005,101
T3SE-NP_461794.1,III,0.6782,0.2854,0.0041,0.0029,0.6782,0.0042,0.0251,80
T3SE-NP_461799.1,III,0.9995,0.0,1e-04,0.0002,0.9995,1e-04,0.0,543
T3SE-NP_461800.1,III,0.9552,0.0303,0.0002,0.0013,0.9552,0.0116,0.0014,130
T3SE-NP_461803.1,III,0.9994,0.0,0.0002,1e-04,0.9994,0.0003,0.0,685
T3SE-NP_461804.1,III,0.9995,0.0002,0.0002,1e-04,0.9995,1e-04,0.0,343
T3SE-NP_461805.1,III,0.9997,0.0,0.0002,0.0,0.9997,0.0,0.0,409
T3SE-NP_461806.1,III,0.9975,0.0,0.0012,0.0002,0.9975,0.0,0.0009,593
T3SE-NP_461812.1,III,0.9881,0.0093,0.0002,0.0003,0.9881,0.0002,0.0019,303
T3SE-NP_461813.1,III,0.9927,0.0008,0.0009,0.0003,0.9927,0.0023,0.003,336
T3SE-NP_461816.1,III,0.9886,0.0026,1e-04,0.0002,0.9886,0.0083,0.0002,135
T3SE-NP_461818.1,III,0.9968,0.0,0.0,0.0,0.9968,0.0031,0.0,372
T3SE-NP_461829.1,III,0.4162,0.2113,0.0101,0.0019,0.4162,0.3508,0.0097,173
T3SE-NP_461866.1,III,0.847,0.0129,0.0004,0.0002,0.847,0.1382,0.0014,317
T3SE-NP_461889.1,III,0.7169,0.2375,0.0009,0.0067,0.7169,0.0037,0.0343,454
T3SE-NP_461922.1,III,0.8733,0.11,0.0011,0.0058,0.8733,0.002,0.0079,231
T3SE-NP_461942.1,III,0.8103,0.1271,0.0002,1e-04,0.8103,0.0621,0.0002,252
T3SE-NP_461950.1,III,0.7541,0.1217,0.0077,0.0068,0.7541,0.0497,0.0601,132
T3SE-NP_462040.1,III,0.5669,0.4257,0.0003,0.0017,0.5669,0.0041,0.0013,185
T3SE-NP_462045.1,III,0.698,0.2599,0.0011,0.0009,0.698,0.0045,0.0356,126
T6SE-NP_462046.1,VI,0.9988,0.0002,1e-04,0.0,0.0008,0.0,0.9988,161
T6SE-NP_462054.1,VI,0.7052,0.2535,0.0106,0.0114,0.0155,0.0038,0.7052,618
T3SE-NP_462060.1,III,0.9609,0.0138,0.0003,0.0004,0.9609,0.0185,0.0062,162
T6SE-NP_462203.1,VI,0.3819,0.3042,0.0029,0.0019,0.2914,0.0178,0.3819,354
T3SE-NP_462235.1,III,0.4331,0.3717,0.0018,0.0043,0.4331,0.1802,0.0089,210
T3SE-NP_462245.1,III,0.7662,0.1767,0.0016,0.0062,0.7662,0.029,0.0205,155
T3SE-NP_462260.1,III,0.8933,0.0678,1e-04,1e-04,0.8933,0.038,0.0007,243
T3SE-NP_462353.1,III,0.7716,0.219,0.0008,0.0016,0.7716,0.0061,0.0009,95
T3SE-NP_462366.3,III,0.7455,0.2192,0.0019,0.0007,0.7455,0.0144,0.0182,72
T3SE-NP_462466.1,III,0.8717,0.0561,0.006,0.0025,0.8717,0.0597,0.0039,127
T3SE-NP_462506.1,III,0.7633,0.2101,0.0022,0.0019,0.7633,0.0027,0.0198,118
T3SE-NP_462523.1,III,0.5211,0.4719,0.0008,0.0023,0.5211,0.0018,0.0021,523
T6SE-NP_462550.1,VI,0.7634,0.1507,0.0613,0.0017,0.0127,0.0101,0.7634,70
T1SE-NP_462591.1,I,0.5283,0.0923,0.5283,0.3379,0.0047,0.0188,0.0179,1461
T6SE-NP_462651.1,VI,0.905,0.0141,0.0107,0.0014,0.0648,0.0039,0.905,114
T3SE-NP_462655.1,III,0.5217,0.4757,1e-04,0.0006,0.5217,0.0016,0.0003,205
T3SE-NP_462696.1,III,0.5838,0.0195,0.0625,0.0013,0.5838,0.1705,0.1624,32
T3SE-NP_462711.1,III,0.7071,0.221,0.0123,0.0059,0.7071,0.0034,0.0503,408
T3SE-NP_462923.1,III,0.7389,0.2511,0.0007,0.003,0.7389,0.0057,0.0005,188
T1SE-NP_462987.1,I,0.3311,0.3184,0.3311,0.2144,0.0368,0.0044,0.0948,726
T3SE-NP_463026.1,III,0.4396,0.1127,0.0011,0.0007,0.4396,0.4303,0.0155,336
T6SE-NP_463063.1,VI,0.7531,0.1851,0.0036,0.0005,0.0423,0.0154,0.7531,151
T6SE-NP_463064.1,VI,0.7897,0.0627,0.0361,0.0154,0.095,0.0011,0.7897,201
T6SE-NP_463065.1,VI,0.5757,0.1519,0.2263,0.0142,0.0304,0.0014,0.5757,581
T6SE-NP_463072.1,VI,0.9939,0.0003,0.0031,0.0002,0.0024,1e-04,0.9939,240
T6SE-NP_463073.1,VI,0.9455,0.0016,0.0009,0.0003,0.0513,0.0003,0.9455,347
T6SE-NP_463075.1,VI,0.9847,0.0005,0.0015,1e-04,0.0131,0.0002,0.9847,317
T3SE-NP_463076.1,III,0.5971,0.0566,0.0908,0.0066,0.5971,0.0035,0.2455,784
T6SE-NP_463077.1,VI,0.9988,0.0003,0.0002,0.0,0.0006,1e-04,0.9988,174
T3SE-NP_463079.1,III,0.9021,0.0295,0.0114,0.0095,0.9021,0.0105,0.037,65
T3SE-NP_463080.1,III,0.7909,0.0164,0.0013,0.0004,0.7909,0.0119,0.1791,151
T6SE-NP_463105.1,VI,0.5944,0.2253,0.0427,0.0018,0.0053,0.1305,0.5944,70
T3SE-NP_463117.1,III,0.9259,0.0107,0.0019,0.0002,0.9259,0.0563,0.0049,112
T1SE-NP_463126.1,I,0.9494,0.0071,0.9494,0.0112,0.0006,0.0144,0.0173,5559
T1SE-NP_463177.1,I,0.6384,0.0002,0.6384,0.0059,0.2733,0.0042,0.078,89
T1SE-NP_463178.1,I,0.9349,0.0341,0.9349,0.0074,0.0014,0.0034,0.0187,71
T3SE-NP_463196.1,III,0.5064,0.2051,0.0005,0.0007,0.5064,0.2728,0.0145,285
T3SE-NP_463231.1,III,0.5983,0.388,0.0005,0.002,0.5983,0.01,0.0012,134
T3SE-NP_463234.3,III,0.9478,0.0186,0.0013,0.0004,0.9478,0.0247,0.0071,227
T3SE-NP_463251.1,III,0.4292,0.0043,0.1407,0.0074,0.4292,0.0002,0.4183,68
T3SE-NP_463287.1,III,0.589,0.3687,0.0049,0.0136,0.589,0.0217,0.0021,447
T3SE-NP_463303.1,III,0.9807,0.006,0.0005,0.0004,0.9807,0.0068,0.0056,100
T3SE-NP_463310.1,III,0.5124,0.2934,0.0016,0.0023,0.5124,0.1898,0.0005,80
T3SE-NP_463328.1,III,0.7867,0.1411,0.0017,0.0037,0.7867,0.0621,0.0048,150
T3SE-NP_463352.1,III,0.4801,0.4213,0.0003,0.0011,0.4801,0.0937,0.0034,273
T6SE-NP_463368.3,VI,0.9992,0.0002,0.0002,0.0,0.0003,1e-04,0.9992,176
T3SE-NP_463377.1,III,0.5731,0.2095,0.0065,0.0015,0.5731,0.1963,0.0132,171
T3SE-NP_463407.3,III,0.6835,0.3046,0.0003,0.0017,0.6835,0.0087,0.0012,224
T3SE-NP_463413.1,III,0.8369,0.1514,0.0004,0.0028,0.8369,0.0008,0.0077,145
