name,system,score,NonEffector.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
T3SE-WP_005763731.1,III,0.6327,0.1985,0.0148,0.0097,0.6327,0.0145,0.1298,725
T3SE-WP_003382340.1,III,0.9858,0.0031,0.0059,0.0007,0.9858,0.0042,0.0003,98
T3SE-WP_011103163.1,III,0.9998,0.0,0.0,0.0,0.9998,0.0,1e-04,264
T3SE-WP_011103164.1,III,0.9977,0.0,1e-04,1e-04,0.9977,0.002,1e-04,204
T6SE-WP_226992678.1,VI,0.4519,0.1327,0.0119,0.0031,0.2576,0.1428,0.4519,304
T3SE-WP_005768037.1,III,0.8087,0.0566,0.0028,0.0003,0.8087,0.0372,0.0945,82
T3SE-WP_011103200.1,III,0.5846,0.0005,0.1162,0.0034,0.5846,0.0008,0.2946,276
T6SE-WP_005768024.1,VI,0.9616,0.0085,0.0042,0.0011,0.0243,0.0003,0.9616,196
T3SE-WP_005768022.1,III,0.6473,0.1018,0.0108,0.0074,0.6473,0.0174,0.2154,62
T6SE-WP_011103203.1,VI,0.5905,0.2133,0.1181,0.0266,0.051,0.0004,0.5905,498
T6SE-WP_005768018.1,VI,0.9992,0.0002,0.0003,1e-04,0.0002,0.0,0.9992,115
T3SE-WP_011103204.1,III,0.3232,0.3002,0.2135,0.0178,0.3232,0.0075,0.1377,714
T3SE-WP_011103212.1,III,0.9936,0.0,0.0042,0.0003,0.9936,0.0007,0.0013,218
T3SE-WP_226992679.1,III,0.9236,1e-04,0.0019,0.0004,0.9236,0.0014,0.0725,241
T3SE-WP_005768974.1,III,0.3945,0.2768,0.0035,0.0004,0.3945,0.2419,0.0829,239
T3SE-WP_005769010.1,III,0.8133,0.0374,0.0011,0.0009,0.8133,0.028,0.1194,118
T3SE-WP_011103247.1,III,0.8863,0.0821,0.0005,0.0002,0.8863,0.0261,0.0047,591
T3SE-WP_011103248.1,III,0.7046,0.1422,0.0002,1e-04,0.7046,0.1527,1e-04,201
T3SE-WP_011103252.1,III,0.4861,0.2471,0.0005,1e-04,0.4861,0.253,0.0131,132
T3SE-WP_011103253.1,III,0.5853,0.3647,0.0029,0.0062,0.5853,0.0128,0.0282,269
T6SE-WP_005770114.1,VI,0.5405,0.1731,0.0356,0.2282,0.0143,0.0083,0.5405,575
T3SE-WP_005770090.1,III,0.9189,0.001,0.0004,0.0003,0.9189,0.01,0.0693,465
T3SE-WP_011103324.1,III,0.9999,0.0,0.0,0.0,0.9999,1e-04,0.0,705
T3SE-WP_005769931.1,III,0.9803,0.0017,0.0012,0.0034,0.9803,0.0124,0.001,407
T3SE-WP_046463803.1,III,0.9888,1e-04,0.0005,1e-04,0.9888,0.0013,0.0092,1910
T3SE-WP_226992680.1,III,0.8862,0.068,0.0021,0.0029,0.8862,0.0318,0.0091,575
T6SE-WP_161797785.1,VI,0.5468,0.0133,0.1964,0.0985,0.0408,0.1043,0.5468,277
T3SE-WP_005769991.1,III,0.9989,1e-04,1e-04,1e-04,0.9989,0.0008,0.0,267
T3SE-WP_011103344.1,III,0.9996,0.0,0.0002,0.0002,0.9996,0.0,0.0,403
T6SE-WP_005770558.1,VI,0.5715,0.3246,0.0403,0.008,0.0462,0.0095,0.5715,197
T6SE-WP_011103358.1,VI,0.4842,0.1499,0.0274,0.0033,0.3287,0.0066,0.4842,401
T6SE-WP_003383244.1,VI,0.5924,0.316,0.0439,0.0062,0.0265,0.0151,0.5924,192
T3SE-WP_007246096.1,III,0.9799,0.0012,0.0028,0.0002,0.9799,0.0141,0.0018,114
T3SE-WP_003380289.1,III,0.9622,0.0263,0.0003,0.0003,0.9622,0.0084,0.0026,235
T3SE-WP_011103378.1,III,0.8532,0.0695,0.0004,0.0006,0.8532,0.0605,0.0158,425
T3SE-WP_005771507.1,III,0.4717,0.0076,0.3056,0.0044,0.4717,0.0588,0.152,135
T6SE-WP_011103382.1,VI,0.4763,0.3779,0.025,0.0265,0.0917,0.0025,0.4763,671
T3SE-WP_159229438.1,III,0.5334,0.4076,0.0003,1e-04,0.5334,0.0577,0.0009,61
T3SE-WP_005770909.1,III,0.9984,0.0,0.0002,0.0002,0.9984,0.0012,0.0,276
T3SE-WP_003380356.1,III,0.798,0.1811,0.0013,0.0015,0.798,0.0171,0.0009,149
T3SE-WP_005770950.1,III,0.4621,0.4164,0.0123,0.005,0.4621,0.0416,0.0626,134
T3SE-WP_011103422.1,III,0.8719,0.0022,0.0036,0.0023,0.8719,0.0028,0.1171,325
T3SE-WP_005736543.1,III,0.9269,0.0571,0.0015,0.0007,0.9269,0.0116,0.0023,77
T6SE-WP_011103452.1,VI,0.9885,0.0011,0.0038,0.0,0.0038,0.0027,0.9885,366
T3SE-WP_011103457.1,III,0.9402,0.0053,0.0046,0.0013,0.9402,0.0479,0.0008,114
T3SE-WP_005768752.1,III,0.7561,0.0256,0.0058,0.0012,0.7561,0.2034,0.0079,113
T3SE-WP_011103458.1,III,0.9239,0.0427,1e-04,1e-04,0.9239,0.0326,0.0005,201
T3SE-WP_005768735.1,III,0.7788,0.1314,0.0002,0.0002,0.7788,0.0881,0.0013,267
T3SE-WP_005764206.1,III,0.5158,0.3848,0.001,0.0002,0.5158,0.09,0.0082,110
T3SE-WP_046463401.1,III,0.9333,0.0296,0.0007,0.0007,0.9333,0.0352,0.0005,163
T6SE-WP_011103479.1,VI,0.9806,0.016,0.0018,0.0005,0.0007,0.0003,0.9806,922
T3SE-WP_005764101.1,III,0.6532,0.3059,0.0019,0.0043,0.6532,0.0031,0.0316,333
T3SE-WP_005764094.1,III,0.6217,0.3632,0.0026,0.0023,0.6217,0.0086,0.0016,141
T6SE-WP_005615514.1,VI,0.3719,0.3152,0.0478,0.0067,0.1691,0.0892,0.3719,156
T6SE-WP_011103509.1,VI,0.5889,0.3467,0.0038,0.0011,0.0147,0.0448,0.5889,331
T3SE-WP_011103515.1,III,0.6962,0.0057,0.0,1e-04,0.6962,0.2977,0.0003,322
T3SE-WP_005763971.1,III,0.9862,0.012,1e-04,0.0003,0.9862,0.0011,0.0004,400
T3SE-WP_005736349.1,III,0.8466,0.0126,0.0,1e-04,0.8466,0.1404,0.0002,159
T3SE-WP_005763932.1,III,0.9997,0.0,0.0002,1e-04,0.9997,0.0,0.0,350
T3SE-WP_005763926.1,III,0.9778,0.0,0.0178,0.0034,0.9778,0.0007,0.0003,424
T3SE-WP_011103530.1,III,0.9493,0.0101,0.0002,0.0002,0.9493,0.0396,0.0006,164
T3SE-WP_005763919.1,III,0.9999,0.0,0.0,0.0,0.9999,1e-04,0.0,712
T3SE-WP_005763915.1,III,0.9836,0.0096,1e-04,0.0004,0.9836,0.0049,0.0014,129
T3SE-WP_011103532.1,III,0.9982,0.0,1e-04,1e-04,0.9982,0.0015,0.0,1795
T6SE-WP_005763904.1,VI,0.7955,0.0121,0.0133,0.0002,0.1779,0.0011,0.7955,113
T3SE-WP_005763902.1,III,0.9957,0.0,0.0039,0.0004,0.9957,0.0,0.0,370
T3SE-WP_005763898.1,III,0.9992,0.0003,0.0002,1e-04,0.9992,1e-04,0.0,124
T3SE-WP_005763896.1,III,0.8911,0.0434,0.0008,0.0008,0.8911,0.0023,0.0616,175
T3SE-WP_007244829.1,III,0.9714,0.0267,0.0005,0.0003,0.9714,0.0005,0.0005,193
T3SE-WP_003375722.1,III,0.9918,0.001,0.0009,1e-04,0.9918,0.0043,0.0021,74
T3SE-WP_005763889.1,III,0.9918,0.0017,1e-04,0.0,0.9918,0.0062,0.0002,143
T3SE-WP_007244826.1,III,0.8082,0.1283,0.0017,0.0007,0.8082,0.0578,0.0033,119
T3SE-WP_003375716.1,III,0.5959,0.3785,0.0008,0.0006,0.5959,0.02,0.0042,359
T3SE-WP_005763877.1,III,0.9718,0.0195,0.0036,0.0011,0.9718,0.0006,0.0035,137
T3SE-WP_011103535.1,III,0.8786,0.1099,0.0005,0.0064,0.8786,1e-04,0.0045,238
T3SE-WP_011103536.1,III,0.9931,0.0045,0.0002,0.0002,0.9931,0.001,0.0008,189
T3SE-WP_005615731.1,III,0.9999,0.0,0.0,0.0,0.9999,0.0,0.0,368
T3SE-WP_011103539.1,III,0.9954,0.0,0.0039,0.0002,0.9954,0.0002,0.0002,780
T3SE-WP_011103540.1,III,0.9992,0.0,0.0003,0.0003,0.9992,1e-04,1e-04,466
T6SE-WP_046463820.1,VI,0.6806,0.088,0.0035,0.0005,0.01,0.2174,0.6806,136
T3SE-WP_005771009.1,III,0.9966,1e-04,0.0025,0.0003,0.9966,1e-04,0.0004,147
T3SE-WP_011103557.1,III,0.4057,0.2381,0.089,0.1046,0.4057,0.0282,0.1343,431
T3SE-WP_007245377.1,III,0.9315,0.0135,0.0019,0.0002,0.9315,0.047,0.0059,98
T6SE-WP_011103577.1,VI,0.9971,0.0002,0.0009,1e-04,0.0016,1e-04,0.9971,1984
T3SE-WP_003377747.1,III,0.8812,0.0977,0.0045,0.0004,0.8812,0.0145,0.0017,72
T3SE-WP_005765940.1,III,0.994,0.0003,0.0052,1e-04,0.994,0.0002,1e-04,207
T6SE-WP_005765957.1,VI,0.9318,0.0033,0.0009,1e-04,0.0542,0.0097,0.9318,125
T3SE-WP_011103590.1,III,0.9771,0.0005,0.0045,0.0035,0.9771,0.0119,0.0025,282
T3SE-WP_011103600.1,III,0.9939,0.0,1e-04,1e-04,0.9939,0.0054,0.0005,284
T3SE-WP_010202284.1,III,0.9435,0.004,0.0179,0.0044,0.9435,0.0055,0.0247,51
T3SE-WP_011103606.1,III,0.9644,0.024,0.0005,0.0002,0.9644,0.0086,0.0023,103
T3SE-WP_002554403.1,III,0.5913,0.3336,0.0151,0.0048,0.5913,0.0132,0.042,62
T6SE-WP_005767547.1,VI,0.6136,0.0037,0.209,0.0044,0.0378,0.1315,0.6136,63
T3SE-WP_046463930.1,III,0.6478,0.2535,0.0002,0.0002,0.6478,0.0974,0.0009,239
T3SE-WP_011103631.1,III,0.9984,0.0,0.0004,0.0002,0.9984,0.0009,0.0,290
T3SE-WP_004879420.1,III,0.7787,0.2033,0.0005,0.0006,0.7787,0.0163,0.0006,75
T3SE-WP_225982977.1,III,0.5672,0.1702,0.0014,0.0007,0.5672,0.2565,0.004,77
T3SE-WP_011103651.1,III,0.8832,0.1017,0.0018,0.0029,0.8832,0.0015,0.0089,191
T3SE-WP_003381567.1,III,0.5132,0.4705,0.0036,0.0027,0.5132,0.0064,0.0036,201
T3SE-WP_003381582.1,III,0.9371,0.0034,0.0062,0.0007,0.9371,0.0464,0.0062,59
T3SE-WP_003378914.1,III,0.9794,0.0109,0.0002,0.0002,0.9794,0.009,0.0003,72
T3SE-WP_005766730.1,III,0.5245,0.4571,0.003,0.006,0.5245,0.0052,0.0042,308
T3SE-WP_046463922.1,III,0.3451,0.3319,0.0011,0.0005,0.3451,0.317,0.0043,77
T3SE-WP_005767727.1,III,0.724,0.0381,0.0006,0.0002,0.724,0.2356,0.0015,59
T3SE-WP_005767754.1,III,0.8948,0.0392,0.0231,0.0015,0.8948,0.0241,0.0172,95
T3SE-WP_046463918.1,III,0.4547,0.3032,0.0009,0.0004,0.4547,0.2339,0.0069,93
T3SE-WP_024666576.1,III,0.6985,0.1622,0.0008,0.0023,0.6985,0.0209,0.1153,260
T3SE-WP_011103752.1,III,0.8631,0.1202,0.0011,0.0004,0.8631,0.0071,0.0081,461
T6SE-WP_159229446.1,VI,0.9992,1e-04,1e-04,0.0,0.0005,0.0,0.9992,1132
T3SE-WP_003382703.1,III,0.7303,0.102,0.0013,0.0006,0.7303,0.163,0.0028,68
T3SE-WP_005616754.1,III,0.9941,0.0009,0.0027,0.002,0.9941,1e-04,0.0002,104
T3SE-WP_005767009.1,III,0.9877,0.0018,0.0052,0.0046,0.9877,0.0002,0.0005,130
T1SE-WP_011103781.1,I,0.5872,0.0799,0.5872,0.0212,0.2859,0.0122,0.0136,492
T3SE-WP_011103786.1,III,0.7251,0.1866,0.0268,0.0246,0.7251,0.0026,0.0343,474
T3SE-WP_005766956.1,III,0.9989,0.0,0.0008,1e-04,0.9989,0.0,0.0002,155
T3SE-WP_046464008.1,III,0.7577,0.0189,0.0512,0.0069,0.7577,0.0103,0.1549,152
T6SE-WP_011103800.1,VI,0.5531,0.0063,0.3983,0.0301,0.0072,0.0051,0.5531,618
T6SE-WP_011103801.1,VI,0.6969,0.0064,0.2684,0.019,0.0017,0.0076,0.6969,539
T3SE-WP_005766927.1,III,0.9094,0.0195,0.0027,0.0006,0.9094,0.0579,0.0099,178
T6SE-WP_011103803.1,VI,0.6647,0.0107,0.1552,0.0144,0.1463,0.0087,0.6647,220
T3SE-WP_003378668.1,III,0.7077,0.111,0.0071,0.0012,0.7077,0.1456,0.0274,56
T3SE-WP_003315128.1,III,0.9911,0.0066,0.0002,1e-04,0.9911,0.0019,1e-04,92
T3SE-WP_011103820.1,III,0.5192,0.3938,0.0048,0.0015,0.5192,0.0595,0.0211,172
T6SE-WP_005617305.1,VI,0.3975,0.1293,0.0012,0.0006,0.3345,0.1369,0.3975,113
T6SE-WP_005617022.1,VI,0.8672,0.0076,0.0641,0.0036,0.0123,0.0452,0.8672,61
T6SE-WP_005760698.1,VI,0.9969,0.0006,0.0011,1e-04,1e-04,0.0012,0.9969,153
T6SE-WP_011103829.1,VI,0.6274,0.3556,0.0052,0.0011,0.0093,0.0014,0.6274,125
T6SE-WP_011103830.1,VI,0.902,0.0005,0.0361,0.0011,0.0591,0.0012,0.902,120
T6SE-WP_011103831.1,VI,0.9893,0.0057,0.0044,0.0004,0.0003,0.0,0.9893,126
T6SE-WP_011103832.1,VI,0.9556,0.0295,0.001,0.0004,0.0119,0.0015,0.9556,150
T6SE-WP_011103833.1,VI,0.2999,0.1845,0.2029,0.0142,0.2956,0.0028,0.2999,277
T3SE-WP_011103835.1,III,0.8225,0.0171,0.0006,1e-04,0.8225,0.1548,0.005,83
T6SE-WP_046463351.1,VI,0.6308,0.1212,0.0043,0.0005,0.0373,0.2058,0.6308,157
T6SE-WP_011103837.1,VI,0.9487,1e-04,0.0282,0.0004,0.0224,0.0002,0.9487,60
T6SE-WP_011103839.1,VI,0.9789,0.0171,0.0003,1e-04,0.003,0.0007,0.9789,132
T6SE-WP_011103840.1,VI,0.9458,0.0042,0.043,0.0026,0.004,0.0005,0.9458,1093
T6SE-WP_226992648.1,VI,0.6506,0.0011,0.2061,0.0176,0.1241,0.0005,0.6506,107
T6SE-WP_007244228.1,VI,0.8145,0.0014,0.1263,0.0139,0.0439,0.0,0.8145,220
T6SE-WP_011103842.1,VI,0.7728,0.0348,0.1827,0.0069,0.0027,1e-04,0.7728,475
T6SE-WP_011103845.1,VI,0.8692,0.0013,0.0766,0.0081,0.0411,0.0037,0.8692,70
T6SE-WP_011103846.1,VI,0.4799,0.0085,0.2134,0.0705,0.2254,0.0023,0.4799,414
T3SE-WP_007244210.1,III,0.5909,0.0927,0.0003,0.0004,0.5909,0.3137,0.0021,89
T3SE-WP_011103857.1,III,0.818,0.1671,0.0009,0.0003,0.818,0.0084,0.0054,147
T3SE-WP_005617091.1,III,0.8555,0.1296,0.0004,0.0003,0.8555,0.012,0.0023,85
T3SE-WP_011103863.1,III,0.9055,0.0861,0.0012,0.0008,0.9055,0.0043,0.0021,394
T3SE-WP_005770688.1,III,0.8847,0.1118,0.0004,0.0005,0.8847,0.0024,0.0002,190
T6SE-WP_005769679.1,VI,0.4562,0.0171,0.0579,0.0031,0.2641,0.2015,0.4562,105
T6SE-WP_226992691.1,VI,0.8547,0.0016,0.1022,0.0096,0.0147,0.0171,0.8547,708
T6SE-WP_032639333.1,VI,0.6892,0.0038,0.218,0.0448,0.0414,0.0029,0.6892,501
T6SE-WP_046463561.1,VI,0.9749,0.0006,0.0043,0.001,0.0189,0.0003,0.9749,1682
T6SE-WP_011103902.1,VI,0.9254,0.0023,0.0591,0.0045,0.0064,0.0023,0.9254,607
T6SE-WP_011103903.1,VI,0.596,0.0051,0.0239,0.0055,0.3686,0.0009,0.596,443
T3SE-WP_011103905.1,III,0.7542,0.0058,0.0417,0.0255,0.7542,0.0011,0.1717,757
T3SE-WP_011103906.1,III,0.7691,0.0032,0.0499,0.0224,0.7691,0.0004,0.155,996
T6SE-WP_011103907.1,VI,0.9907,0.0014,0.0032,0.0013,0.0033,1e-04,0.9907,1562
T1SE-WP_046463436.1,I,0.3991,0.0022,0.3991,0.0492,0.2875,0.0002,0.2617,313
T3SE-WP_011103929.1,III,0.3971,0.3877,0.0021,0.0021,0.3971,0.0123,0.1988,167
T3SE-WP_003382465.1,III,0.8817,0.071,0.0041,1e-04,0.8817,0.0346,0.0084,82
T6SE-WP_057443149.1,VI,0.3988,0.0007,0.2637,0.0098,0.3269,1e-04,0.3988,135
T3SE-WP_162491835.1,III,0.3836,0.2495,0.0128,0.0014,0.3836,0.0498,0.3029,545
T3SE-WP_003373331.1,III,0.7904,0.1921,0.0002,0.0006,0.7904,0.016,0.0007,130
T3SE-WP_011103957.1,III,0.5103,0.3546,0.0328,0.0288,0.5103,0.003,0.0704,239
T3SE-WP_005765651.1,III,0.8632,0.1172,0.0024,0.0004,0.8632,0.0132,0.0036,65
T3SE-WP_007246362.1,III,0.9409,0.0201,0.0008,1e-04,0.9409,0.0362,0.0019,79
T3SE-WP_005765646.1,III,0.677,0.1496,0.0017,0.0002,0.677,0.143,0.0284,83
T3SE-WP_080898792.1,III,0.8125,0.0905,0.0011,0.0005,0.8125,0.0918,0.0037,64
T6SE-WP_002553156.1,VI,0.6184,0.2834,0.0468,0.0019,0.0234,0.0261,0.6184,70
T3SE-WP_046464006.1,III,0.7483,0.2431,0.0007,0.001,0.7483,0.0053,0.0016,285
T3SE-WP_005771214.1,III,0.4904,0.3548,0.0047,0.0036,0.4904,0.003,0.1436,496
T6SE-WP_046463451.1,VI,0.9925,0.0014,0.003,1e-04,0.0007,0.0023,0.9925,496
T6SE-WP_011104019.1,VI,0.554,0.4308,0.0018,0.0006,0.0075,0.0054,0.554,204
T6SE-WP_005771275.1,VI,0.9954,0.0037,0.0004,0.0002,0.0003,0.0,0.9954,316
T3SE-WP_011104027.1,III,0.7582,0.0327,0.0016,0.0002,0.7582,0.186,0.0213,103
T3SE-WP_010205561.1,III,0.8282,0.0313,0.0002,0.0002,0.8282,0.1374,0.0028,66
T3SE-WP_005617589.1,III,0.7207,0.0021,0.002,0.0002,0.7207,0.2732,0.0019,67
T3SE-WP_005617613.1,III,0.5243,0.1382,0.0019,0.0004,0.5243,0.3335,0.0018,106
T6SE-WP_164923175.1,VI,0.9993,1e-04,1e-04,0.0,0.0005,0.0,0.9993,1132
T6SE-WP_011104070.1,VI,0.996,0.0029,0.0008,0.0,0.0002,1e-04,0.996,680
T6SE-WP_007246961.1,VI,0.9989,1e-04,0.0002,0.0,0.0008,0.0,0.9989,171
T3SE-WP_226992694.1,III,0.588,0.3903,1e-04,1e-04,0.588,0.0206,0.001,202
T3SE-WP_011104077.1,III,0.7555,0.2309,0.0007,0.001,0.7555,0.0114,0.0006,509
T6SE-WP_005762667.1,VI,0.5744,0.1022,0.0206,0.0011,0.1541,0.1475,0.5744,196
T3SE-WP_032640670.1,III,0.9846,0.0002,0.0116,0.0007,0.9846,0.0,0.0028,281
T3SE-WP_005737770.1,III,0.8394,0.1388,0.003,0.0004,0.8394,0.002,0.0165,60
T3SE-WP_005762621.1,III,0.9856,0.0,0.013,0.001,0.9856,1e-04,0.0002,184
T1SE-WP_122448205.1,I,0.7099,0.0034,0.7099,0.0201,0.0943,0.006,0.1663,47
T6SE-WP_024666073.1,VI,0.7998,0.0612,0.1181,0.0035,0.0171,0.0004,0.7998,62
T3SE-WP_005762465.1,III,0.9451,0.0302,0.0022,0.0003,0.9451,0.0184,0.0038,88
T3SE-WP_046463533.1,III,0.9995,1e-04,0.0,0.0,0.9995,0.0004,0.0,312
T3SE-WP_149032124.1,III,0.3847,0.3677,0.0014,0.0003,0.3847,0.2442,0.0017,241
T3SE-WP_005762396.1,III,0.7784,0.2148,0.0018,0.0011,0.7784,0.0031,0.0008,173
T3SE-WP_005762383.1,III,0.8031,0.0363,0.0015,0.0015,0.8031,0.0249,0.1327,302
T6SE-WP_046463534.1,VI,0.819,0.0207,0.0185,0.0182,0.1223,0.0013,0.819,176
T3SE-WP_046463524.1,III,0.9466,0.0138,0.0019,0.0005,0.9466,0.0342,0.0031,126
T3SE-WP_046463778.1,III,0.9436,0.0049,0.0003,1e-04,0.9436,0.0443,0.0068,208
T3SE-WP_011104237.1,III,0.6531,0.3342,0.0038,0.0005,0.6531,0.007,0.0013,118
T3SE-WP_046463359.1,III,0.6723,0.0457,0.0089,0.0006,0.6723,0.0144,0.2581,118
T6SE-WP_011104245.1,VI,0.4879,0.0074,0.0195,0.0031,0.4655,0.0167,0.4879,392
T6SE-WP_005771451.1,VI,0.611,0.3101,0.0035,0.0044,0.0438,0.0272,0.611,456
T3SE-WP_005771455.1,III,0.903,0.0431,0.0031,0.0132,0.903,0.0263,0.0113,899
T3SE-WP_007243908.1,III,0.6862,0.1863,0.0106,0.0283,0.6862,0.0198,0.0689,423
T3SE-WP_226992701.1,III,0.7018,0.2669,0.0005,0.001,0.7018,0.0228,0.007,234
T3SE-WP_011104303.1,III,0.7752,0.1974,0.001,0.0006,0.7752,0.0236,0.0022,147
T6SE-WP_046463410.1,VI,0.6048,0.0042,0.144,0.0309,0.073,0.143,0.6048,257
T3SE-WP_007246483.1,III,0.9663,0.0264,0.0011,0.0004,0.9663,0.0022,0.0036,146
T6SE-WP_010205279.1,VI,0.5525,0.015,0.0022,0.0009,0.4268,0.0026,0.5525,150
T3SE-WP_011104341.1,III,0.5688,0.3114,0.0221,0.0461,0.5688,0.0064,0.0452,548
T3SE-WP_005764454.1,III,0.5965,0.3171,0.0138,0.0088,0.5965,0.0134,0.0505,500
T3SE-WP_005766113.1,III,0.9531,0.0023,0.0018,0.0004,0.9531,0.0383,0.0041,230
T3SE-WP_005766152.1,III,0.796,0.1931,0.0017,0.0013,0.796,0.007,0.0008,53
T3SE-WP_011104378.1,III,0.9993,0.0,1e-04,0.0,0.9993,0.0006,0.0,553
T3SE-WP_046463770.1,III,0.4015,0.0077,0.0177,1e-04,0.4015,0.2187,0.3542,173
T3SE-WP_046463771.1,III,0.683,0.0618,0.0065,0.0046,0.683,0.005,0.2391,214
T6SE-WP_003380432.1,VI,0.7538,0.1045,0.0738,0.0268,0.0345,0.0066,0.7538,101
T3SE-WP_005766218.1,III,0.7842,0.2087,0.0002,1e-04,0.7842,0.0059,0.0009,57
T3SE-WP_005766263.1,III,0.94,0.0247,0.0011,1e-04,0.94,0.0232,0.0109,88
T3SE-WP_005766308.1,III,0.4568,0.3808,0.0012,0.0004,0.4568,0.1434,0.0175,118
T6SE-WP_005766322.1,VI,0.6335,0.0561,0.1133,0.0303,0.1094,0.0574,0.6335,356
T3SE-WP_007245872.1,III,0.954,0.013,0.0005,0.0002,0.954,0.0168,0.0153,99
T3SE-WP_011104422.1,III,0.8159,0.163,0.0015,0.0028,0.8159,0.005,0.0117,317
T1SE-WP_011104426.1,I,0.9974,0.0002,0.9974,0.001,1e-04,0.0009,0.0003,535
T3SE-WP_011104432.1,III,0.9066,0.0602,0.0011,0.0004,0.9066,0.0277,0.0039,259
T6SE-WP_052746242.1,VI,0.9987,1e-04,0.0009,0.0,0.0,0.0003,0.9987,117
T6SE-WP_044393845.1,VI,0.9814,0.0011,0.0141,0.0002,0.0025,0.0007,0.9814,97
T6SE-WP_166460976.1,VI,0.9921,0.0016,0.0038,0.0002,0.0008,0.0015,0.9921,138
T3SE-WP_226992637.1,III,0.4962,0.0605,0.0004,1e-04,0.4962,0.4412,0.0015,148
T6SE-WP_046463979.1,VI,0.4744,0.1105,0.0093,0.0015,0.2808,0.1236,0.4744,149
T6SE-WP_011104440.1,VI,0.9933,0.0008,0.005,0.0002,0.0,0.0008,0.9933,398
T3SE-WP_011104480.1,III,0.9984,0.0,0.0009,0.0005,0.9984,1e-04,0.0,404
T3SE-WP_011104481.1,III,0.9977,0.0,0.0015,0.0003,0.9977,0.0004,0.0,416
